Oscar Wilde  |  Be yourself; everyone else is already taken.
Albert Einstein  |  Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.
Frank Zappa  |  So many books, so little time.
Bernard M. Baruch  |  Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.
Marcus Tullius Cicero  |  A room without books is like a body without a soul.
Dr. Seuss  |  You know you're in love when you can't fall asleep because reality is finally better than your dreams.
Mae West  |  You only live once, but if you do it right, once is enough.
Mahatma Gandhi  |  Be the change that you wish to see in the world.
Robert Frost  |  In three words I can sum up everything I've learned about life: it goes on.
J.K. Rowling  |  If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.
Albert Camus  |  Don’t walk in front of me… I may not follow Don’t walk behind me… I may not lead Walk beside me… just be my friend
Eleanor Roosevelt  |  No one can make you feel inferior without your consent.
Mark Twain  |  If you tell the truth, you don't have to remember anything.
Elbert Hubbard  |  A friend is someone who knows all about you and still loves you.
Oscar Wilde  |  Always forgive your enemies; nothing annoys them so much.
Oscar Wilde  |  To live is the rarest thing in the world. Most people exist, that is all.
Mahatma Gandhi  |  Live as if you were to die tomorrow. Learn as if you were to live forever.
Martin Luther King Jr.  |  Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.
Oscar Wilde  |  I am so clever that sometimes I don't understand a single word of what I am saying.
Friedrich Nietzsche  |  Without music, life would be a mistake.
Stephen Chbosky  |  We accept the love we think we deserve.
Ralph Waldo Emerson  |  To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.
Narcotics Anonymous  |  Insanity is doing the same thing, over and over again, but expecting different results.
Andre Gide  |  It is better to be hated for what you are than to be loved for what you are not.
J.K. Rowling  |  It is our choices, Harry, that show what we truly are, far more than our abilities.
Jane Austen  |  The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.
Marilyn Monroe  |  Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.
J.K. Rowling  |  It does not do to dwell on dreams and forget to live.
John Green  |  As he read, I fell in love the way you fall asleep: slowly, and then all at once.
